Article,Datum,Doublecheck Formula,Formula,Input data type,Input semantics,News-Orga,Position of user input in story,Response on user input,Topic,UI for user input,URL
Welcher Stadtteil passt zu mir?,26. Juni 2025,,"S → (Iₙ, Vcuo(I₁…ₙ), Au(I₁…ₙ))ₙ₌₁…ₖ → S → V → S
","Geographic, category (nominal)","Exploratory filtering, Personal Subjective, Sociodemographic Attributes",ZEIT,Intro,"Visual comparison of user inputs across participants, Visualization update",Mieten & Wohnen,"Autocomplete/Typeahead, Button Based Input, Dropdown",https://www.zeit.de/zeit-magazin/2025-06/stadtteile-grossstaedte-wohnen-deutschland-lebensqualitaet
Schluss mit der Sparpolitik,26. Juni 2025,,,,,ZEIT,,,,None,https://www.zeit.de/politik/deutschland/2025-06/bundeshaushalt-finanzpolitik-schulden-lars-klingbeil-bundesregierung
Würden Sie das Abi heute noch schaffen?,23. Juni 2025,,,category (nominal),Knowledge,ZEIT,Recurring,"Annotation update, Visual comparison of user inputs across participants",Bildung,Checkbox,https://www.zeit.de/familie/2025-06/abitur-aufgaben-fragen-schule-schueler-abiturnoten
"So warm wie heute war es zuletzt, als die Neandertaler noch lebten",20. Juni 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/umwelt/2025-06/klimageschichte-veraenderung-temperatur-entwicklung-daten
Sind Sie so verheiratet wie andere in Ihrem Alter?,19. Juni 2025,,"S → ⟦V₁⟧ → (I₁, Vu(I₁), Au(I₁))→ (¬V₁) → S → S → S → V → S → V → S → V → S ","Numeric (continuous), category (nominal)",Sociodemographic Attributes,ZEIT,Mid,"Annotation update, Local highlight of user input in visualization, Visualization update",Gesellschaft,"Button Based Input, Slider",https://www.zeit.de/zeit-magazin/2025-06/heiratsalter-deutschland-ehe-hochzeit-beziehungen
Wie Israel die Atomfestung des Iran vernichten könnte,18. Juni 2025,,,,,ZEIT,,,Krieg,None,https://www.zeit.de/wissen/2025-06/atomanlage-fordo-iran-israel-berg-zerstoerung-bombe
Welche US-Militärbasen der Iran treffen könnte,23. Juni 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/ausland/2025-06/angriffe-israel-iran-karte-grafik
In diesen Branchen werden dringend Mitarbeiter gesucht,3. Juni 2025,,,category (nominal),Exploratory filtering,ZEIT,Recurring,Annotation update,Arbeitsmarkt,None,https://www.zeit.de/arbeit/2025-06/fachkraeftemangel-berufe-nachwuchs-arbeitnehmer-daten
"Der Bergsturz, der ein ganzes Dorf auslöschte",30. Mai 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/umwelt/2025-05/blatten-schweiz-dorf-gletscherabbruch-loetschental
Sollte ich die Krankenkasse wechseln?,25. Mai 2025,,"S → (I₁, Vu(I₁)) → S","Geographic, category (nominal)",Sociodemographic Attributes,ZEIT,Intro,Visualization update,"Gesundheit, Konsum/Verbraucher",Autocomplete/Typeahead,https://www.zeit.de/geld/2025-05/krankenkasse-vergleich-beitraege-zusatzleistungen-wechsel
Diese Autos fahren in Ihrer Gegend,30. Mai 2025,,,category (nominal),Exploratory filtering,ZEIT,Mid,Visualization update,"Technik, Verkehr/Infrastruktur",Autocomplete/Typeahead,https://www.zeit.de/mobilitaet/2025-05/zugelassene-autos-modelle-marken-karte-deutschland-statistik
Das sind die teuersten und günstigsten Stadtteile Deutschlands,28. Mai 2025,,"S → ⟦V₁⟧ → S → (I₁, Vh(I₁), Au(I₁)) → (¬V₁) → ⟦V₂h(I₁), Au(I₁)⟧ → S → S → S → S → S → (¬V₂, ¬(Au(I₁))) → V → S → S → V → S → ",Geographic,Sociodemographic Attributes,ZEIT,Intro,"Annotation update, Persistent user input highlight across visualizations",Mieten & Wohnen,Autocomplete/Typeahead,https://www.zeit.de/wirtschaft/2025-05/mietpreise-immobilien-deutschland-staedte-stadtteile
Wie viel Protein Sie wirklich brauchen,27. Mai 2025,,"S →  (Au(I₁), I₁, Vh(I₁), Au(I₁)) → S → Au( I₁) → V → S → Au( I₁) → V → S → Au( I₁) → V → S → V → S","Binary, Category (ordinal), Numeric (continuous)","Behavior, Sociodemographic Attributes",ZEIT,Intro,"Annotation update, Persistent user input highlight across visualizations, Visualization update",Gesundheit,"Button Based Input, Slider",https://www.zeit.de/wissen/2025-05/protein-bedarf-ernaehrung-lebensmittel-alltag-sport
99 Probleme bis zur Wehrfähigkeit,24. Mai 2025,,,,,ZEIT,,,Politik,None,www.zeit.de/politik/deutschland/2025-05/probleme-bundeswehr-wehrpflicht-militaer-soldaten
Hier liegen die Schätze der modernen Welt,19. Mai 2025,,,,,ZEIT,,,Klima/wetter/Energie/Umwelt,None,https://www.zeit.de/wissen/2025-05/verteilung-rohstoffe-deutschland-europa-lithium-kobalt-seltene-erden
Deshalb kommen weniger Geflüchtete in die EU,15. Mai 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-05/fluchtrouten-gefluechtete-balkan-mittelmeer-grenzen-daten
Wie tief Deutschland emotional gespalten ist,13. Mai 2025,,,,,ZEIT,,,"Gesellschaft, Politik",None,https://www.zeit.de/politik/deutschland/2025-05/gesellschaftliche-spaltung-polarisierung-ideologisch-affektiv-asyl-klima
Früher war es auch schon knapp,6. Mai 2025,,,,,ZEIT,,,Politik,None,https://www.zeit.de/politik/deutschland/2025-05/kanzlerwahlen-ueberblick-mehrheiten-daten-friedrich-merz
"""Das Schlimmste war das Lied. Sie singen, wie sie meine Familie töten""",30. April 2025,,,,,ZEIT,,,"Politik, Verbrechen/Konflikt",None,https://www.zeit.de/zeit-magazin/2025-04/gewalt-politiker-anfeindungen-beleidigung-hass
100 Tage Wirtschaftschaos,29. April 2025,,,,,ZEIT,,,Wirtschaft,None,https://www.zeit.de/wirtschaft/2025-04/weltwirtschaft-donald-trump-zollpolitik-boersenkurse-daten
133 Männer hinter verschlossenen Türen,25. April 2025,,,,,ZEIT,,,Kirche,None,https://www.zeit.de/politik/ausland/2025-04/konklave-kardinaele-wahl-papst-herkunft-katholische-kirche
Wie viel Zucker ist drin?,15. April 2025,,S → I₁ → V → S,Category (ordinal),Make a Guess,ZEIT,Intro,"Annotation update, Visual comparison of user inputs across participants",Gesundheit,Visual Object Selection,https://www.zeit.de/zeit-magazin/wochenmarkt/2025-04/zucker-lebensmittel-inhaltsstoff-menge-spiel
Wusste Trumps Umfeld Bescheid – und machte enorme Gewinne?,11. April 2025,,,,,ZEIT,,,,None,https://www.zeit.de/geld/2025-04/us-zoelle-donald-trump-insiderhandel-marktmanipulation
Ist das die nächste große Finanzkrise?,7. April 2025,,,,,ZEIT,,,Wirtschaft,None,https://www.zeit.de/wirtschaft/2025-04/boersencrash-finanzkrise-us-zoelle-folgen-aktien
Können Sie sich noch eine Immobilie in Ihrem Landkreis leisten?,1. April 2025,,"S → (I₁, V₁u(I₁) I₂, V₁z(I₂), Au(I₂)) → S → V → S → V → S",Numeric (continuous),"Cost Parameter, Economic Attributes",ZEIT,Intro,"Annotation update, Visualization update",Mieten & Wohnen,Slider,https://www.zeit.de/geld/2025-04/immobilienmarkt-bauzinsen-hauskauf-wohnung-zinsrechner
Ihr MSCI-World-Depot ist gecrasht? So schlimm waren vergangene Krisen,20. März 2025,,"S → (I₁, ⟦V₁u(I₁)⟧) → (Au(I₁), Su(I₁), V₁u(I₁)) → (Au(I₁), Su(I₁), V₁u(I₁)) → (Au(I₁), Su(I₁), V₁u(I₁)) → (Au(I₁), Su(I₁), V₁u(I₁)) → (¬V₁) → S → V → S",Numeric (continuous),Economic Attributes,ZEIT,Intro,"Persistent user  input reference across story paragraphs, Persistent user input highlight across visualizations, Persistent user input reference across annotations, Visualization update","Vermögen, Wirtschaft",Slider,https://www.zeit.de/geld/2025-03/krisensichere-geldanlage-crash-depot-finanzmarkt
Und dann malt er ein Herz mit ihrem Blut ans Fenster,10. April 2025,,,,,ZEIT,,,Verbrechen/Konflikt,None,https://www.zeit.de/gesellschaft/2025-04/toetungsdelikte-frauen-2024-partner-mord-femizide
Spielen Sie Kanzler,12. März 2025,,,category (nominal),Opinion,ZEIT,Intro,Visual comparison of user inputs across participants,Politik,"Button Based Input, Visual Object Selection",https://www.zeit.de/politik/deutschland/2025-03/zusammensetzung-bundesregierung-neues-kabinett-minister-individuell
Darum können Sie Google-Bewertungen nicht mehr trauen,25. November 2025,,,,,Spiegel,,,,None,https://www.spiegel.de/netzwelt/apps/google-bewertungen-warum-sie-den-sternen-nicht-mehr-trauen-koennen-a-aba211eb-1197-4d48-9c65-81755faaae75
These five cities help explain why homicide rates are down across the U.S.,20. November 2025,,,,,The Washington Post,,,Verbrechen/Konflikt,None,https://www.washingtonpost.com/nation/interactive/2025/homicide-rates-us-cities/
"How every House member voted on the bill to reopen the government
",12. November 2025,,,,,The Washington Post,,,Politik,None,https://www.washingtonpost.com/politics/interactive/2025/11/12/how-every-house-member-voted-bill-reopen-government/
How snowy could it be where you live this winter? Look up your area.,16. November 2025,,,,,The Washington Post,,,Klima/wetter/Energie/Umwelt,None,https://www.washingtonpost.com/climate-environment/interactive/2025/how-snowy-could-it-be-where-you-live-this-winter-look-up-your-area/?utm_source=chatgpt.com
"The biggest careers that have now vanished, according to data",3. November 2025,,,,,The Washington Post,,,Arbeitsmarkt,None,https://www.washingtonpost.com/business/2025/11/03/what-common-jobs-have-mostly-disappeared-us-heres-data/
"Two industries were supposed to drive America’s future. One is booming, the other slumping.",13. Oktober 2025,,,,,The Washington Post,,,Wirtschaft,None,https://www.washingtonpost.com/business/2025/10/13/manufacturing-artificial-intelligence/
See how much longer summer is in your town,24. August 2025,,,Geographic,Exploratory filtering,The Washington Post,Intro,"Annotation update, Visualization update",Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.washingtonpost.com/climate-environment/interactive/2025/longer-summer-hot-temperatures-map/
"The two reasons Americans aren’t having babies, according to data",14. August 2025,,,Geographic,Exploratory filtering,The Washington Post,Intro,"Annotation update, Visualization update",Gesellschaft,Autocomplete/Typeahead,https://www.washingtonpost.com/opinions/interactive/2025/trump-baby-boom-birth-rate-declining/
"We drove Trump’s D.C. Turns out, he may not be seeing much.",16. August 2025,,,,,The Washington Post,,,Politik,None,https://www.washingtonpost.com/style/interactive/2025/presidents-trumps-motorcade-route-dc/
What are the clues that ChatGPT wrote something? We analyzed hundreds of thousands of messages.,13. November 2025,,,,,The Washington Post,,,Technik,None,https://www.washingtonpost.com/technology/interactive/2025/how-detect-chatgpt-em-dash/
On the wild side,20. Mai 2025,,,,,The Washington Post,,,Gesellschaft,None,https://www.washingtonpost.com/climate-solutions/interactive/2025/no-mow-may-2025/
How snowy could it be where you live this winter? Look up your area.,16. November 2025,,"S → V → S → I₁, Vu(I₁), Au(I₁) → (S → V)₁…₆ → S
",Geographic,Sociodemographic Attributes,The Washington Post,Mid,Visualization update,Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.washingtonpost.com/climate-environment/interactive/2025/how-snowy-could-it-be-where-you-live-this-winter-look-up-your-area/
Deadly rivers in the sky,1. November 2025,,,Geographic,Exploratory filtering,The Washington Post,"Final, Mid",Zoom-in existing visualization based on user input,Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.washingtonpost.com/weather/interactive/2025/deadly-flooding-moisture-hotspots-maps/
Where the sky keeps bursting,12. November 2025,,,,,The Washington Post,,,Klima/wetter/Energie/Umwelt,None,https://www.washingtonpost.com/weather/interactive/2025/flood-hotspots-appalachia-eastern-us-maps/
is your area just have its most humid summer? Find out here.,11. September 2025,,"S → V → S → V → S  → I₁, Vu(I₁), Au(I₁) → (S → V)₁…₆ → S",Geographic,Sociodemographic Attributes,The Washington Post,Intro,"Annotation update, Visualization update",Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.washingtonpost.com/climate-environment/interactive/2025/summer-humidity-increasing-maps/
What trees are most common in your city? And are they at risk?,29. Juli 2025,,"S → ⟦V₁⟧ → S₁…₅→ (¬V₁) → (S → V)₁…₂ → (I₁, Vu(I₁), Au(I₁)) → (S → V)₁…₂",Geographic,Sociodemographic Attributes,The Washington Post,Mid,"Annotation update, Visualization update",Klima/wetter/Energie/Umwelt,Autocomplete/Typeahead,https://www.washingtonpost.com/climate-solutions/interactive/2025/city-tree-diversity-vulnerability-maps/
Your diet’s impact on the planet depends on where you live. Look up your city.,21. Oktober 2025,,"V → S → V → S → I₁, V, Au(I₁) → S → V → S",Geographic,Sociodemographic Attributes,The Washington Post,Mid,"Annotation update, Visualization update","Gesellschaft, Klima/wetter/Energie/Umwelt, Konsum/Verbraucher",Autocomplete/Typeahead,https://www.washingtonpost.com/climate-environment/interactive/2025/meat-beef-climate-impact/
Here’s how Africa wants to redraw the world map,26. August 2025,,,,,The Washington Post,,,Politik,None,https://www.washingtonpost.com/world/interactive/2025/mercator-map-africa-au-size/
The deadliest roads in America,19. November 2025,,,Geographic,Exploratory filtering,The Washington Post,Mid,Zoom-in existing visualization based on user input,Verkehr/Infrastruktur,Autocomplete/Typeahead,https://www.washingtonpost.com/business/interactive/2025/pedestrian-deaths-surge-road-safety/
Budget 2025 calculator: how Reeves’ tax changes will affect your money,26. November 2025,,"S → I₁ → Au(I₁) → S → V → S → V → S → V → ",Numeric (continuous),Economic Attributes,Financial Times,Intro,Annotation update,Vermögen,Number Input,https://www.ft.com/content/54cb448c-f1a2-46ce-914e-75728ef390ae
1 Temperatures have continued to rise amid fears of accelerated warming,10. November 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/872bd709-ade6-41f7-88c6-afab043b2016
End of The Line: how Saudi Arabia’s Neom dream unravelled,6. November 2025,,,,,Financial Times,,,Mieten & Wohnen,None,https://ig.ft.com/saudi-neom-line/
How mega batteries are unlocking an energy revolution,13. Oktober 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://ig.ft.com/mega-batteries/
How AI became our personal assistant,7. Oktober 2025,,,Geographic,Exploratory filtering,Financial Times,Mid,"Annotation update, Visualization update",Technik,Autocomplete/Typeahead,https://ig.ft.com/ai-personal-assistant/
Inside the relentless race for AI capacity,31. Juli 2025,,,,,Financial Times,,,Technik,None,https://ig.ft.com/ai-data-centres/
Ukraine’s battle against Russia in maps and charts: latest update,31. Oktober 2025,,,,,Financial Times,,,Krieg,None,https://www.ft.com/content/4351d5b0-0888-4b47-9368-6bc4dfbccbf5
The Israel-Hamas war in maps and charts,24. März 2025,,,,,Financial Times,,,Politik,None,https://www.ft.com/content/42bbe534-8a0d-4ba8-9cc6-f84936d87196
Inflation and interest rates tracker: see how your country compare,19. November 2025,,,"Date, Geographic, category (nominal)",Exploratory filtering,Financial Times,Recurring,Visualization update,Wirtschaft,"Autocomplete/Typeahead, Dropdown, Slider",https://www.ft.com/content/088d3368-bb8b-4ff3-9df7-a7680d4d81b2
Britain’s tax system combines the worst of the US and Scandinavia,21. November 2025,,,,,Financial Times,,,Steuerpolitik,None,https://www.ft.com/content/75ce2fba-f6df-4d72-a5a4-0a297d50891f
Trump tracker: US trade,15. September 2025,,,category (nominal),Exploratory filtering,Financial Times,Recurring,Visualization update,Wirtschaft,Autocomplete/Typeahead,https://www.ft.com/content/1902feb4-9c1c-4c90-ba6b-235e89fda784
Britain’s tax system combines the worst of the US and Scandinavia,21. November 2025,,,,,Financial Times,,,Steuerpolitik,None,https://www.ft.com/content/75ce2fba-f6df-4d72-a5a4-0a297d50891f
Young adults are growing increasingly economically dislocated,14. November 2025,,,,,Financial Times,,,Arbeitsmarkt,None,https://www.ft.com/content/bd61b6e2-d455-4f90-a5e3-648f30f0afc6
Why American-style polarisation is spreading across the west,7. November 2025,,,,,Financial Times,,,Gesellschaft,None,https://www.ft.com/content/50603d73-49fe-4d2d-b9e9-5cfe39be0353
Are Britain and the US losing their allure for top talent?,31. Oktober 2025,,,,,Financial Times,,,Arbeitsmarkt,None,https://www.ft.com/content/d70c4037-396f-4304-a85d-10eb10c74eae
Can you run a Premier League football club?,23. August 2025,,"S → S → S → ⟦V₁⟧ → (Iₙ → Su(Iₙ) → V₁u(I₁…ₙ))ₙ₌₁…₁₇ → (¬Vₙ)→ Su(I₁…₁₇) → Vcuu(I₁…₁₇)
",category (nominal),"Behavior, Simulation Parameter",Financial Times,Recurring,"Local highlight of user input in visualization, Persistent user  input reference across story paragraphs, Persistent user input reference across annotations, Visual comparison of user inputs across participants",Wirtschaft,Button Based Input,https://ig.ft.com/football-game/
Draw your own chart game: How Taco were Trump’s tariffs?,5. Juni 2025,,"S→ (⟦Vₙ⟧ → Iₙ → (Vₙu(Iₙ), Au(Iₙ)) → (¬Vₙ) → S)ₙ₌₁…₅",Numeric (continuous),Make a Guess,Financial Times,Recurring,"Annotation update, User-drawn vs. actual data visualization (difference shown)","Steuerpolitik, Wirtschaft",Chart Drawing,https://www.ft.com/content/f5b2a614-3b0e-4db9-a3cd-013eca8cd49d
Can you run the UK economy?,2. Dezember 2025,,"S₁…₄ → ⟦V₁⟧ → S → I₁ → V₁u(I₁) → S → I₂ → V₁u(I₁…₂) → I₃ → V₁u(I₁…₃) → S → I₄ → V₁u(I₁…₄) → S → I₅ → V₁u(I₁…₅) → I₆ → V₁u(I₁…₆) → I₇ → V₁u(I₁…₇) → S → S → I₈ → V₁u(I₁…₈) → I₉ → V₁u(I₁…₉) → I₁₀ → V₁u(I₁…₁₀) → I₁₁ → V₁u(I₁…₁₁) → I₁₂ → V₁u(I₁…₁₂) → I₁₃ → V₁u(I₁…₁₃) → S → (¬V₁)→ Su(I₁…₁₃) → V₁(I₁…₁₃) → Vcuo(I₁…₁₃) → Vcuo(I₁…₁₃) → Su(I₁…₁₃) → Su(I₁…₁₃) → Su(I₁…₁₃) → Vcuo(I₁…₁₃)
","Binary, Numeric (continuous), category (nominal)","Behavior, Simulation Parameter",Financial Times,Recurring,"Persistent user  input reference across story paragraphs, Persistent user input highlight across visualizations, Persistent user input reference across annotations, Visualization update","Politik, Sozialpolitik, Steuerpolitik","Button Based Input, Checkbox, Slider",https://ig.ft.com/chancellor-game/
"Flood death toll rises rapidly across south-east Asia to more than 1,000",1. Dezember 2025,,,,,Financial Times,,,"Arbeitsmarkt, Klima/wetter/Energie/Umwelt, Verbrechen/Konflikt",None,https://www.ft.com/content/61371c71-6518-4bd2-a702-7e74ba29e9c6
As it happened: Reeves unveils her second Budget,26. November 2025,,,,,Financial Times,,,,None,https://www.ft.com/content/d0a55198-4a21-4aa1-8e5c-3711ab279fca
https://ig.ft.com/supermarket-tuna,21. November 2025,,,,,Financial Times,,,,None,https://ig.ft.com/supermarket-tuna/
In charts: ten years since the Paris climate accord,10. November 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/872bd709-ade6-41f7-88c6-afab043b2016
The 900-page book that China watchers count on,7. November 2025,,S → I₁ → Au(I₁)→ S → I₂ → Au(I₂)→ S → I₃ → Au(I₃) → S → I₄ → Au(I₄) → S → I₅ → Au(I₅) → S,Numeric (discrete),Knowledge,Financial Times,Intro,Story update,Gesellschaft,Checkbox,https://www.ft.com/content/06611bfa-5705-4f58-9ed1-5d4c869769b3
Interactive: explore England’s new deprivation map,31. Oktober 2025,,,Geographic,Exploratory filtering,Financial Times,Intro,"Visualization update, Zoom-in existing visualization based on user input",Gesellschaft,Autocomplete/Typeahead,https://www.ft.com/content/9a1c3604-68b7-4b1e-be6c-f361137c49be
Lakshmi Mittal’s energy joint venture bought Russian oil transported on blacklisted ships,29. Oktober 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/52999650-6a10-4666-a5f7-a58c236bff62
How we made it: carbon emissions rise to new record,24. Oktober 2025,,,Geographic,Exploratory filtering,Financial Times,Final,Visualization update,Klima/wetter/Energie/Umwelt,Dropdown,https://www.ft.com/content/e0c4031d-1207-421a-a8c8-1515d4f5fe95
"Extreme heat events rise in decade since Paris accord as CO₂ stays at record, studies say",16. Oktober 2025,,,Geographic,Exploratory filtering,Financial Times,Mid,Visualization update,Klima/wetter/Energie/Umwelt,Dropdown,https://www.ft.com/content/4186663e-e96a-4852-ae6c-1fdaf31afa44
Why a hotter Mediterranean is a problem for sailors,24. September 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,http://ft.com/content/c64c0e05-3ead-422e-bbf4-27ac3f06653b
Jobpocalypse Now? Really?,10. Oktober 2025,,,Geographic,Exploratory filtering,Financial Times,"Mid, Recurring",Visualization update,Arbeitsmarkt,Dropdown,https://www.ft.com/content/4b598a66-3b6c-425c-a06d-75ddf7303efc
How we made it: why the seas are getting hotter,18. September 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/67ecf486-d83d-4aab-a674-191985a27b05
Israel’s invasion of Gaza City: in images and maps,16. September 2025,,,,,Financial Times,,,Krieg,None,https://www.ft.com/content/054fd8e1-d1e1-4ca2-8769-817405f4d64a
Bad news: there’s more of it about,9. September 2025,,,,,Financial Times,,,Wirtschaft,None,https://www.ft.com/content/9a99c07c-e0a7-470e-9f61-72423f020b06
North Pacific and north Atlantic seas show record heat in August,9. September 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/8b9314de-29d0-4ed7-9f2b-f5d30320db98
The booming business of Trump’s deportation flights,28. August 2025,,,,,Financial Times,,,Politik,None,https://ig.ft.com/us-deportation-flights/
Global famine deaths rise as leaders use food as a weapon,25. August 2025,,,,,Financial Times,,,Krieg,None,https://www.ft.com/content/a8f68db8-c083-491d-aa07-9273c4afd177
How we made it: southern Europe’s wild summer,20. August 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/f2eb4aa3-9776-4b85-86f0-681a062dd8c3
How a decade of banker prosecutions collapsed,12. August 2025,,,,,Financial Times,,,Verbrechen/Konflikt,None,https://www.ft.com/content/7472a5fc-f599-48e8-99ed-9996310c25a3
Climate Tracker: keeping watch on extreme events around the world,12. August 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/e15b170b-6483-4835-a277-5e9f53cef494
Inside the AI race: can data centres ever truly be green?,7. August 2025,,,,,Financial Times,,,"Klima/wetter/Energie/Umwelt, Technik",None,https://www.ft.com/content/0f6111a8-0249-4a28-aef4-1854fc8b46f1
The American guns turning Haiti’s gangs into an army,30. Juli 2025,,,,,Financial Times,,,Verbrechen/Konflikt,None,https://ig.ft.com/haiti-gangs/
Russia runs low on Soviet-era arms as North Korea fills gap,28. Juli 2025,,,,,Financial Times,,,Krieg,None,https://www.ft.com/content/1b9ce558-551e-45d4-80ae-57e3cc32d7ed
Inside America’s booming immigration detention industry,16. Juli 2025,,,,,Financial Times,,,Politik,None,https://ig.ft.com/us-immigration-detention/
Inside Gaza’s ‘death traps’,14. Juli 2025,,,,,Financial Times,,,Krieg,None,https://www.ft.com/content/6c74d86c-330f-4184-9e15-6de4debe0f75
"UK sea level rising faster than global average, study finds",14. Juli 2025,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://www.ft.com/content/77573339-f8bf-4082-ada2-7eb10180840e
Is Europe prepared for war?,1. Juli 2025,,,,,Financial Times,,,Krieg,None,https://ig.ft.com/russia-eastern-border/
Can you reach net zeroby 2050?,1. Juli 2022,,,,,Financial Times,,,Klima/wetter/Energie/Umwelt,None,https://ig.ft.com/climate-game/
"




Das sind die längsten Flugstrecken der Welt",29. November 2025,,,,,Spiegel,,,Verkehr/Infrastruktur,None,https://www.spiegel.de/auto/china-eastern-kuendigt-neuen-rekordflug-an-das-sind-die-laengsten-flugstrecken-der-welt-a-89b9d17b-2b0b-48a8-be06-3f3fb7ae3943
Darum können Sie Google-Bewertungen nicht mehr trauen,29. November 2025,,,,,Spiegel,,,Technik,None,https://www.spiegel.de/netzwelt/apps/google-bewertungen-warum-sie-den-sternen-nicht-mehr-trauen-koennen-a-aba211eb-1197-4d48-9c65-81755faaae75
"
        
        
        
    

Am gefährlichsten sind Momente der Trennung
",29. November 2025,,,,,Spiegel,,,Verbrechen/Konflikt,None,https://www.spiegel.de/panorama/justiz/neue-femizid-studie-besitzdenken-und-eifersucht-ist-haeufiges-taetermotiv-a-59a60d78-176f-4683-b1a1-9b5d31f38b4d
"
        
        
        
    

So geben ARD und ZDF Ihren Rundfunkbeitrag aus
",15. November 2025,,,,,Spiegel,,,"Gesellschaft, Konsum/Verbraucher",None,https://www.spiegel.de/wirtschaft/ard-und-zdf-so-gibt-der-oeffentlich-rechtliche-rundfunk-ihren-rundfunkbeitrag-aus-a-7cae2709-4660-4314-a645-e7e7f3606ce7
"




Jetzt kreuzt Trumps größtes Kriegsschiff in der Karibik",12. November 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/ausland/uss-gerald-r-ford-in-der-karibik-eingetroffen-das-kann-der-us-flugzeugtraeger-a-44d7dba6-ac8c-4ae0-b616-edfeaa13e317
So verändert Trump das Wahlsystem zu seinen Gunsten,11. November 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/ausland/gerrymandering-in-den-usa-wie-donald-trump-das-wahlsystem-zu-seinen-gunsten-veraendert-a-4661ebdd-9d53-41be-bae9-8e5d79a0a638
"  So hat die Inflation Ihr Frühstück verteuert",11. November 2025,,"S → I₁, Vh(I₁), Au(I₁) → (S → V)ₙ₌₁…₄→ S","Numeric (continuous), category (nominal)",Behavior,Spiegel,Intro,"Annotation update, Local highlight of user input in visualization",Konsum/Verbraucher,"Button Based Input, Stepper",https://www.spiegel.de/wirtschaft/service/inflation-so-haben-sich-fruehstueck-und-lebensmittel-verteuert-ein-interaktiver-vergleich-a-309665d7-2606-4d33-b785-b7e4635d27da
"  So viel Treibhausgas haben die Länder weltweit eingespart",10. November 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wissenschaft/natur/pariser-klimaabkommen-so-viel-treibhausgas-haben-die-laender-in-zehn-jahren-eingespart-a-6b115474-bef9-4134-bda6-d62ad57a4ad2
"
        
        
        
    

So abhängig ist Deutschland von syrischen Ärzten
",3. November 2025,,,,,Spiegel,,,Arbeitsmarkt,None,https://www.spiegel.de/wirtschaft/soziales/gesundheitssystem-so-abhaengig-ist-deutschland-von-syrischen-aerzten-a-82fe5513-368f-4bfc-812d-661abcfeaaff
Die Archivare des Todes,23. Oktober 2025,,,,,Spiegel,,,Krieg,None,https://www.spiegel.de/ausland/russland-ukraine-krieg-gefallene-russische-soldaten-die-archivare-des-todes-a-a8a9aff2-ccbe-456d-ad4a-24c1a574b042
Warum der Ton im Bundestag härter geworden ist,17. Oktober 2025,,,,,Spiegel,,,Politik,None,https://www.spiegel.de/politik/deutschland/bundestag-afd-und-linke-kassieren-die-meisten-ordnungsrufe-a-eaf59182-d1ff-4f9c-b78c-39cb9c6f4036
Die Probleme des Faktenchecksystems von Elon Musk,16. Oktober 2025,,,,,Spiegel,,,Technik,None,https://www.spiegel.de/netzwelt/faktencheck-system-auf-x-wie-gut-funktionieren-die-community-notes-von-elon-musk-a-fe5c54a7-88a0-4bb7-9e86-64a09cbda1e9
"




So teuer heizt Deutschland",14. Oktober 2025,,,,,Spiegel,,,Klima/wetter/Energie/Umwelt,None,https://www.spiegel.de/wirtschaft/service/heizkosten-welche-heizungsart-derzeit-am-guenstigsten-ist-und-wie-sich-die-preise-entwickeln-a-e115df7c-354f-4ca8-9ad3-aa7bb8e75879
